Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulbils	Bulblets replace flowers	Anther opening	Anther spurs	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal appendages (Oenothera)	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Style petal-like	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Other markings on berry	Ovary stipe	Placenta arrangement	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Septum in fruit (Brassicaceae)	Wings on fruit	prickles on fruits	Glands on leaf blade	Sap	Sap color	Growth form	Lifespan	Parasitism	Plant color	Spines on plant	Bracteole number (Apiaceae)	Bracts in plantain (Plantago)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf blade surface colors	Leaf blade width	Leaf duration	Leaf form	Leaf spines	Leaf stalk	Leaf stalk attachment to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaf type	Specific leaf type	Stipule features	Stipules	Specific habitat	Branched tendrils	Flowering stem cross-section	Hair between stem nodes	Leaves on stem	Plant height	Tendril origin	Tendrils	Corolla morphology	Inflorescence one-sided	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splitting	Leaf tip	Hairs between stem nodes	Anther color	Anther tube length	Calyx growth after flowering	Calyx symmetry	Carpel hairs	Cilia on petals	Filament surface	Flower diameter	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence	Length of flower stalk	Length of peduncle	Number of branches in umbel	Perianth shape	Petal base	Petal folding in bud	Petal glandular dots or scales	Petal hairs on inner/upper surface	Petal shape	Petal tip shape	Raceme attachment (Veronica)	Sepal appearance	Sepal auricles	Sepal color	Sepal orientation	Sepal relative length	Sepal shape	Sepal uniformity	Spur length	Spur number	Stamen appendages	Stamen lengths differ	Stamen morphology	Stamen relative length	Style relative length	Surface of ovary	Carpel beak length	Fruit beak length	Fruit length relative to sepals	Fruit shape	Fruit stalk orientation	Fruit width	Hair type on fruit	Hairs on fruit	Ovary stipe length	Seed length	Seed number	Seeds comose	Underground organs	Bracteole edges	Bracteole length	Bracteole shape	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Flower bract length	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	Leaf blade bloom	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	Leaf sheath length	Leaf shiny	Leaf stalk length	Leaf tufts in axils	Leaf types	Leaf variation	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	Stem bloom	Stem hair distribution	Stem nodes swollen	Stem orientation	Stem roughness between nodes	Stem spacing	Wings on stem	Connecticut	Maine	Massachusetts	New Hampshire	Rhode Island	Vermont	Interior flower disk	Petal nectaries	Petal width	Sepal texture	Plants darken when dry	Stipule shape	Hypanthium length	Length of hairs between stem nodes	Inflorescence length	Style length	Fruit cross-section	Stipule edges	Stipule fused to leaf stalk	Stipule length	Flowering stem width	Stem succulence	Stamen length	Flower length	Anther attachment	Inflorescence width	Sepal cilia	Sepal features	Sepal tip shape	Relative fruit length	Horizontal rooting stem	Anther length	Filament length	Flower appearance	Inflorescence type	Fruit length to width ratio	Stigma length	Teeth per side of leaf blade	Leaf folding in bud	Winged seeds
terrestrial	blue to purple	simple	lobes	radially symmetrical	5	not fused	>=13	dry and splits open	60^250	no	no	narrow slits or furrows along the anthers	no	fused	no	no	yes	7^12	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	one of the inner tepals has a tubercle	the petals have spots or streaks on them	the flower has no nectar spurs	5	1	1	the ovary is above the point of petal and/or sepal  attachment	blue to purple	the petals are thin and delicate, and pigmented (colored other than green or brown)	the petals of the flower do not have folds or plaits	the side petals of the flower are hairy with hairs that are narrow or very slightly expanded at the tip, but not knob-shaped	the petals are longer than the sepals	5	the tips of the petals stand up straight or slant outwards	all the flowers have both carpels and stamens (synoecious)	no	the sepals are different from the petals	the sepals do not have appendages on them	the appendages are attached at the tips of the sepals and squeezed together in bud	20^30	5	the sepals are fused to each other (not other flower parts), at least near their bases	the stamens are attached at or near the bases of the petals or tepals	the stamens are lined up with the sepals	the stamens are attached to one another at or near their bases	there are no staminodes on the flower	the stigmas are positioned at the tip of the style	the styles are not petal-like	all the flowers at the final division of the umbel have both carpels and stamens	NA	the achenes are perpendicular to the plane of the perianth (vertical)	the achenes are circular in outline	the achene has tiny rounded bumps or projections on it (papillose)	the fruit is an achene (dry, indehiscent, and usually one-seeded)	red	NA	the pyxis splits on or near the middle	the surface of the fruits are wrinkled, the fruits are covered with a netlike pattern (i.e., reticulate), or covered with bumps on the surface of the fruit (tuberculate)	five	the fruit is a capsule (splits along two or more seams, apical teeth or pores when dry, to release two or more seeds)	the legume has valves that split elastically and coil after they split	0	the mericarp is rounded on the lower margin	the ripe berries are mostly one color without spots or streaks	the ovary or fruit does not have a stipe	the plant has axile placentation, in which the ovules are attached where the septa of a compound ovary are united, usually on the central axis, or to the septa themselves	there is one row of seeds in each locule of the fruit	the fruit is not flattened	0	the seed is about as long as it is wide	the seed is smooth or without clear markings	The fruit is either not compressed or is compressed parallel to the septum; therefore, the fruit and its septum are about the same width	the fruit does not have wings on it	the fruits do not have thorn-like defensive structures	the leaf blades do not have glandular dots or scales	the sap is clear and watery	the sap is clear	the plant is an herb (it has self-supporting stems)	the plant lives only a single year or less	the plant is not parasitic	the leaves or young stems of the plant are green	there are spines on the plant	0		0	0	the underside of the leaf is fuzzy or hairy	the upper side of the leaf is fuzzy or hairy	alternate: there is one leaf per node along the stem	the leaf has a distinct leaf stalk (petiole)	the base of the leaf blade is cordate (heart-shaped, has rounded lobes at the base)	the leaf blade has simple hairs with no glands, and not tangled or wooly	Up to 350	the leaf blade is elliptic (widest near the middle and tapering at both ends)	the upper side of the leaf blade is relatively uniform in color	50^300	the leaves drop off in winter (or they whither but persist on the plant)	the leaves are green, with an expanded blade and a leaf-like texture	there are no spines on the leaf edges	the leaves have leaf stalks	the petiole attaches at the basal margin of the leaf blade	the petiole base is narrow where it attaches to the stem	the leaf blade margin has outward-pointing teeth	0	there is one leaf per node along the stem	the pinnately compound leaves have a terminal leaflet (and usually have an odd number of leaflets per axis)	simple	glabrous on the surface	the plant has stipules	man-made or disturbed habitats	the tendrils are not branched	the flowering stem is circular, or with lots of small angles so that it is roughly circular	the stem has hairs between the nodes	there is at least one full leaf above the base of the flowering stem	100^200 cm	the tendril is derived from a leaf or leaflet	the plant does not have tendrils	the flower has two prominent lips	the flowers are arrayed in a spiral around the inflorescence axis or branches, or occur singly, or in several ranks	the flower includes two cycles of petal- or sepal-like structures	30^50	the capsule has no prominent ribs or wings	NA	the tip of the leaf blade is acuminate (tapers to a long, thin point)	the stem has no hairs between the nodes	the anthers show no hint of a pink, reddish or purplish tint	0	the calyx does not grow to cover or partially cover the fruit	there are two or more ways to evenly divide the calyx (the calyx is radially symmetrical)	the carpels have thick, woolly hairs	the petal margins do not have cilia	the filament is smooth, with no hairs or scales	15^25	At least 1	the flower points upwards or is angled outwards	the petals are not fringed	the flower stalk has hairs on it	the axis of the inflorescence has hairs entirely without glands	10^30	2^30	0	the perianth is another shape	the petal narrows gradually or does not narrow at the base	the petals in bud are arranged in a cycle with edges overlapping like roof shingles (imbricate)	no	there are no hairs on the inner/upper petal surface	the petal outline is obovate (roughly egg-shaped, but with the widest point above the middle of the leaf blade)	the petal tip is retuse (with a blunt or rounded apex and a notch at the center)	the raceme emerges from the tip of the main stem of the plant	the sepals are green or brown, and leaf-like in texture	the sepals have no auricles	green to brown	the sepals are pressed against the corolla, or jutting stiffly upward	the sepal lobes are shorter than the fused portion	the sepal outline is ovate (widest below the middle and broadly tapering at both ends)	all the sepals are about the same size	0	2	stamen appendages are absent	the stamens are all approximately the same length	the stamens within each cycle are the same	anything	the stigma does not protrude beyond the mouth of the corolla	the ovary surface is covered with small prickles	3^6	3^6	the fruit is longer than its associated sepals	the fruit is hemispherical (shaped like half a sphere)	the fruits point upward or spread or curve outward	15^25	the hairs on the fruits are simple (not branched), don’t have glands, and are not woolly	the fruits have hairs on them	0	3^3.5	3^9	no hairs	there is a thickened taproot on the plant	the bracteole margins are entire (without teeth, lobes or hairs)	0	the bracteoles are subulate (narrowly tapering from the base to the apex; awl-shaped)	there are no bracteoles on the plant	0	the floral bracts are green, with a leaf-like texture	the flower does not have bracts	0	the petiole has hairs on it	no	the leaf blade does not have inflated hairs on it	the leaf blade base is symmetrical	the underside of the leaf has no noticeable bloom	the leaf is flat (planar) at the edges	the major veins radiate out from one point at the base	the leaf blade is herbaceous (has a leafy texture)	the major veins of the leaf blade branch, but do not rejoin	the leaf blade has one main vein running from the base towards the tip (it may or may not have secondary veins)	the hairs are flat against the leaf surface, mostly pointing towards the leaf tip	0	the upper side of the leaf is dull or slightly shiny	30^120	there are no clusters of smaller leaves growing out of axils	There is a gradual change in appearance of the leaves from the base (or near the base) of the plant to those from further up on the stem, with leaves progressively changing as one moves higher on the stem (often becoming shorter, or less toothed/lobed, and/or with shorter petioles).	the leaves are nearly similar in size, prominence of teeth, and length of stalks throughout the stem	the leaflets of the compound leaf have petiolules	there are no stipels at the bases of the petiolules	the plant does not have much of a smell	the hairs point mostly upwards to outwards	no	there is no powdery or waxy film on the stem	the hairs on the stem are distributed more of less uniformly	the stem is not swollen at the nodes	the stems are upright or angled outwards	the stem does not feel rough	the plant is solitary, or a few plants are growing together	the stem does not have wings on it	present	present	present	present	present	present	the flower does not have an interior disc	the petals do not have nectaries	0	the sepals are either very thin but flexible, like a membrane, or they are leaf-like in texture	no	the stipules are lanceolate (lance-shaped; widest below the middle and tapering at both ends)	0	0	20^170	0	the fruit is round in cross-section	the stipule margins have teeth on them	the stipules are fused to the petioles for some or most of their length	0	10	the stems are not succulent	4^7	10^17	the anther is attached near its midpoint to the filament	60^120	the sepals do not have cilia	the sepals do not have any of the mentioned special features	the sepal tip is acute (is sharply pointed)	0	the plant does not have stolons	0.7^1	2^4.5	the flowers appear after the leaves have appeared	the inflorescence is a raceme (a long unbranched stem with stalked flowers growing along it)	3^100	0.7^0.9	0	leaves in bud are arranged in a cycle with edges overlapping like roof shingles	no wings on seeds
wetlands	white	compound	teeth and lobes	bilaterally symmetrical	4	fused into a cup or tube	5	dry but does not split open	12	yes	yes	small holes or openings at the tips	yes	solitary	some	yes	no	0	inferior ovary, with or without hypanthium	only pollen- or only seed-producing parts	two or more completely separate styles	2	yes	two or three of the inner tepals have tubercles	there are no noticeable marks on the petals	the flower has one or more nectar spurs	5^30	5	5^30	the ovary is below the point of petal and/or sepal attachment	white	NA	NA	the spurred petal of the flower is hairless	the petals are about equal in length to the sepals	0	the tips of the petals are curled inwards	each flower has only carpels or only stamens, but both types of flower are present on each plant (monoecious)	yes	NA	NA	the appendages are attached part way down the sepals and separate in bud	5^8	4	the sepals are separate from one another	the stamens are not attached to the petals or tepals	NA	the stamens are not attached to one another	the flower has staminodes	the stigmas are positioned on the inner surface of the style		some or all the flowers at the final division of the umbel have stamens only	the upper lip of the bilabiate corolla has two lobes	the achenes are parallel to the plane of the perianth (horizontal)	the achenes are another shape in outline	the achene has tiny rounded bumps or projections on it as well as parallel lines or ridges (striate-papillose)	the fruit is a utricle (a type of achene in which the pericarp is loosely attached and often readily removed)	white	the capsule is entirely green	NA	the fruits have an elongate beak (narrow, pointed projection) at the tip that does not split open	six or more	the fruit is a schizocarp (when dry it splits into sections, each holding one or more seeds)	the legume has none of the mentioned special features	anything	the mericarp is roughly triangular on the lower margin	the ripe berries have spots or streaks on them	the ovary or fruit has a stipe	the plant has apical placentation, where one or a few ovules develop at the top of a simple or compound ovary	there are two or more rows of seeds in each locule of the fruit	the fruit is flattened perpendicular to the commissure	anything	the seed is longer than it is wide	the seed has hairs on it	The fruit is compressed perpendicular to the septum; therefore, the fruit is much wider than the septum	the fruit has one or more wings on it	the fruits are armed with thorns-like defensive structures	the leaf blades have glandular dots or scales	the sap is milky and opaque, and may be white or colored	the sap is white	the plant is a subshrub (small shrub with partially herbaceous stems)	the plant lives more than two years	the plant is a parasite of fungi (mycoheterotrophic)	the plant lacks green pigments, even on the leaves or young stems	the plant has no spines	2^5		20^90	2^2.5	the underside of the leaf is not hairy, or it has very few hairs	the upper side of the leaf is not hairy, or it has very few hairs	opposite: there are two leaves per node along the stem	the leaf has no stalk	the base of the leaf blade is cuneate (wedge-shaped, tapers to the base with relatively straight, converging edges), or narrow	NA	50^200	the leaf blade is oblong (rectangular but with rounded ends)	the upper side of the leaf blade has obvious spots, mottles or stripes	50^100	the leaves remain green all winter	the leaves are small and thin and lack leaf stalks	there are spines along the leaf edges	the leaves have no leaf stalks, but attach directly to the stem	NA	the petiole base clasps the stem or sheathes the stem	the leaf blade margin has forward-pointing teeth	3^9	there are two leaves per node along the stem	NA	the leaf has a row of two or more lobes on each side of the central axis	the stipules are straight (or somewhat slanted) across the top	there are no stipules on the plant	meadows or fields	the tendrils are branched	the flowering stem has strong or sharp angles, but is not square	the stem has no hairs between the nodes	the flowering stem has no leaves above the base	Up to 100 cm		the plant has tendrils	the flower has a concave, hood-like, upper lip	the flowers are all or nearly all arrayed on one side of the inflorescence axis or branches of the inflorescence	the flower includes only one cycle of petals or sepals	7^13	the capsule has four prominent ribs or wings	the capsule splits by three main valves, teeth or pores	the tip of the leaf blade is obtuse (bluntly pointed)	the hairs on the stem are plain, without glands or branches, and not tangled	there is a noticeable pink, reddish or purplish tint to the anthers	0.4^0.8	the calyx grows to cover or partially cover the fruit	there is only one way to evenly divide the calyx (the calyx is bilaterally symmetrical)	the carpels have no hairs	the petal margins have cilia	the filament has rough hairs or scales on it	3^7	At least 25	the flower bends downwards or hangs downwards	the petals are fringed	the flower stalk has no hairs on it	at least some of the hairs on the axis of the inflorescence have glands	5^15	0	12^25	the perianth is campanulate (bell-shaped, with a tube about as long as wide, flaring at the mouth)	the petal narrows abruptly at the base	the petals in bud are rolled like an umbrella, each petal having one edge tucked inside and the other edge exposed (convolute)	yes	there are hairs on the inner/upper petal surface	the petal outline is spatulate (spoon-shaped; narrow near the base, then suddenly widening to a rounded tip)	the petal tip is truncate (ends abruptly in a more or less straight line as though cut off)	the racemes emerge from from the leaf axils	the sepals resemble petals in color and texture	there are two or more auricles per sepal	yellow	the sepals are slightly curved outwards from the corolla	the sepal lobes are approximately the same length as the fused portion	the sepal outline is roughly circular, as wide as long	one or more of the sepals is much narrower or shorter than the others	13^25	5 or more	stamen appendages are present	the stamens are tetradynamous (four long stamens and two short ones)	the stamens within a cycle differ in length or width		the stigma protrudes beyond the mouth of the corolla	the ovary surface has no points, bumps or wrinkles	0	Up to 1	the fruit is shorter than its associated sepals	the fruit is roughly cylindrical (with parallel sides that do not taper, and flat across the top and bottom)	the fruits curve or droop downwards	2	the hairs on the fruits have glands at their tips	the fruits are not hairy	1.5^3.5	1.5^2	3	hairs are present	the plant has a caudex (the root mass is firm and hardened at the top)	the bracteole margins have teeth	3^6	the bracteoles are linear (very narrow, with more or less parallel sides)	the plant has bracteoles between the primary bracts and the flowers	5^10	the floral bracts are thin, dry and papery, possibly with a narrow green stripe at the center	the flower has one or more bracts associated with it	5^10	the petiole has no hairs on it	yes	the leaf blade has inflated hairs on it	the leaf blade base is asymmetrical	there is a noticeable powdery or waxy bloom on the underside of the leaf	the edges of the leaf are curled under	the secondary veins branch off at intervals from the primary vein	the leaf blade is scarious (thin and dry like paper) or membranaceous (thin and flexible and almost translucent like a membrane)	the major veins form a net-like pattern due to splitting and rejoining	the leaf blade has three or more main veins that start at or near the leaf blade base and run from the base towards the tip (it may or may not have secondary veins)	the hairs are standing up straight or curved in different directions	10^70	the upper side of the leaf is very shiny	2^14	there are clusters of smaller leaves growing out of axils	There is an abrupt change in appearance of the leaves from the base (or near the base) of the plant to those from further up on the stem, with the basal leaves of conspicuously different shape or form than those slightly higher up.	the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	the leaflets of the compound leaf lack petiolules	the petiolules have stipels at their bases	the plant has an unpleasant smell	the hairs are pressed flat against the plant, pointing towards the plant's tip	NA	the stem has a powdery or waxy film on it that can be rubbed away	the hairs on the stem are mainly found on the edges or angles of the stem	the stem is swollen at the nodes	the stems trail at the base, but may turn upwards at the tips	the stem feels rough due to hairs or prickles	the plant is growing in tufts, or compact clusters with closely spaced stems, or it is densely matted together in clumps, cushionlike	NA	uncommon                            (S-rank: S3),                                                                             special concern                            (code: SC)	historical                            (S-rank: SH),                                                                             potentially extirpated                            (code: PE)	extremely rare to rare                            (S-rank: S1S2)	historical                            (S-rank: SH),                                                                             endangered                            (code: E)	absent	absent	the flower has an interior disc	the petals have at least one nectary	1.5^3.5	the sepals are firm or rigid	yes	the stipules are another shape than the choices given	2^2.5	Up to 1.5	15^70	1.5	the fruit is at least somewhat flattened	the stipule margins do not have teeth	the stipules are not fused to the petioles	4^6	1.5^12	the stems are succulent	2.7^5.5	12^18	the anther is attached by its base to the filament	20^50	the sepals have cilia on their edges	one or more sepals have a horn-like (hardened) appendage	the sepal tip is obtuse (is bluntly pointed)	4^5	the plant has stolons	0.9^1	2.5^4	the flowers appear at the same time as the leaves	the inflorescence is a branched umbel (each ray of the umbel terminating in another smaller umbel)	37.5^38.5	0.4^0.5	1^2	leaves in bud are folded lengthwise with the upper surfaces facing each other (V-shaped)	
aquatic	yellow	NA	teeth	NA	3	NA	10	fleshy	2			other type of opening		not fused		NA	NA	6^9	superior ovary and hypanthium		narrow at the tip and unbranched			the inner tepals do not have tubercles on them	NA		10^15	6 or more	3		yellow	the petals are green and/or leafy in texture	the petals of the flower have folds or plaits on them	the side petals of the flower are hairy, with hairs that are knob-shaped (with a narrow base and a thickened knob at the tip)	the petals are shorter than the sepals	2		all the flowers on each plant have only carpels or only stamens, with only one type being present on each plant (dioecious)	NA	the petals and sepals are similar	the sepals have one or more appendages on them		2^4.5	3^5		NA	the stamens are lined up with the petals			the stigmas are in another position			the upper lip of the bilabiate corolla has one lobe		the achenes are oval in outline	the achene is smooth (it has no detectable texture)	NA	other	the capsule is spotted or tinted with red to purple-brown	the pyxis bursts open or shatters without a clear seam	the fruits do not split open at maturity (i.e., they are indehiscent)	three	the fruit is a follicle (has one ovary that splits along one side to release the seeds)	the legume is coiled in a spiral before it splits or falls	3^4		NA		the plant has parietal placentation, where ovules develop on the wall or slight outgrowths of the wall forming broken partitions within a compound ovary		the fruit is flattened parallel to the commissure	15^20		the seed has tubercles on it (swellings or projections of a different color or texture than the seed)		NA	NA	NA		the sap is some other color	the plant is a vine (it cannot support its own weight)	the plant lives for two years	the plant is parasitic on other plants (partially or completely dependent on other plants to supply nutrients)			At least 0		10^20	2^2.4	NA	NA	basal:  the leaves are growing only at the base of the plant	the leaf has no stalk and at the base it clasps the stem	the base of the leaf blade is rounded	the leaf blade has branched hairs	20^50	the leaf blade is ovate (widest below the middle and broadly tapering at both ends)	NA	5^10	NA	NA	there is a spine only at the tip of the leaf	NA	the petiole attaches at the center of the leaf blade (like an umbrella), or somewhere between the edge and the center	NA	the leaf blade margin has rounded teeth	anything	the leaves are growing only at the base of the plant (i.e., basal)	the pinnately compound leaves lack a terminal leaflet (and usually have an even number of leaflets per axis)	the leaf has a row of two or more lobes on each side of the central axis, and each lobe itself has rows of lobes on each side of the lobe's central axis	the stipules do not have tiny hairs (cilia) at their tips	NA	forests		NA	NA		50^100 cm			the tube of the flower is curved upwards	NA	the flower includes neither petals nor sepals	0	the capsule has two prominent ribs or wings	the capsule splits by two main valves, teeth or pores	the tip of the leaf blade is acute (sharply pointed)	at least some of the hairs on the stem have glands		0.2^0.3	NA	NA	the carpels have hairs, but they are not thick and woolly		NA	At least 14	10^50		NA	NA	the axis of the inflorescence has no hairs on it	1^5	50^300	18^50	the perianth is cupuliform (cup-shaped)	NA	the petals in bud meet exactly at the margins without overlapping (valvate)	NA		the petal outline is ovate (widest below the middle and broadly tapering at both ends)	the petal tip is acute (sharply pointed)			there is one auricle per sepal	NA	the sepals are curved outwards and downwards from the corolla	the sepal lobes are longer than the fused portion	the sepal outline is oblong (rectangular, but with rounded ends)		1.5^2.5	1		the stamen lengths are other than the choices given	NA			the ovary surface is textured with tiny points, bumps or wrinkles	0^2	anything	the fruit is about the same length as its associated sepals	the fruit is spherical	NA	2^3	NA		2^4	1^2	6		the plant has a rhizome (a horizontal underground stem with roots growing from it)	the bracteole margins are pinnately lobed or divided	5^7	the bracteoles are ovate (widest below the middle, and broadly tapering to both ends--egg-shaped)		10^40	the floral bracts have a hard and bony or firm and leathery texture		8^14	NA	NA	NA	NA	NA	NA		the leaf blade has a fleshy or spongy texture	NA	NA	the hairs are curved or lying flat, mostly pointed toward the  base of the leaf		NA	7^70	NA	NA	NA	NA	NA	the plant has a pleasant smell, for example anise, fruit, mint or resin	the hairs point downwards, or they bend outwards and then downwards	yes	NA	NA	NA	NA	NA	NA	the stem has wings on it that run down the stem from the leaf nodes	present, invasive, prohibited	present, invasive, prohibited	present, invasive, prohibited	absent	present, invasive	present, invasive, prohibited			4^8	the sepals are thin and dry, paperlike		the stipules are ovate (widest below the middle and broadly tapering at both ends)	4^5	1^2	200^400	0^3	the fruit is roughly quadrangular in cross-secgtion			1.5^6	20^40	NA	3.2^5	11^15		10^50		one or more sepals have a spine at the tip	the sepal tip is acuminate (tapers to a very narrow point)	2^4		15^23	1^3.5	the flowers appear before the leaves	the inflorescence has only one flower on it	8.3^22.5	0.2^0.3	0^9		
	orange		entire	there is no way to evenly divide the flower (the flower is asymmetrical)	>=7		11	NA	Up to 2			the anthers have flaps on them that cover the opening		NA				5	NA		lobed at the tip, and unbranched			the margins of the inner tepals have teeth or spines on them			3	3	0		orange			the spurred petal of the flower has hairs	NA	At least 2		the plant has flowers with both carpels and stamens, as well as flowers with only carpels or only stamens (polygamous)					0	2						the stigmas are positioned in lines on the ovary						the achene has irregular bumps on it that makes it rough		purple		the pyxis splits below the middle		one	the fruit is a berry (fleshy, with the wall enclosing one or more sections, with two or more seeds)	the legume has internal partitions arranged cross-wise along the fruit	2.5^4				marginal			2		the seed has a surface characteristic other than those listed									insectivorous			anything		25^80	1^1.5			whorled: there are three or more leaves per node along the stem	the leaf has no stalk and at the base it goes all the way around the stem, so that it appears that the stem pierces the leaf	the base of the leaf blade is truncate (ends abruptly in a more or less straight line as though cut off)	the leaf blade has hairs with glands at their tips	30^90	the leaf blade is spatulate (spoon-shaped; narrow near the base, then suddenly widening to a rounded tip)		15^50			NA				entire	7^11	there are three leaves per node along the stem		the leaf has lobes that themselves have lobes, and these secondary lobes also have lobes; there may be more than three levels of lobes	the stipules are hairy with hairs standing out at a 45 to 90 degree angle, or pressed to the stipule surface		shores of rivers or lakes		the flowering stem is roughly square			20^50 cm						2^4.5	the capsule has three prominent ribs or wings	the capsule splits by four main valves, teeth or pores	the tip of the leaf blade is rounded, with no point	at least some of the hairs on the stem are branched		0.1^0.4						0.8^2	1^17					1^10	10^60	15^30	the perianth is urceolate (urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim)		the petals in bud are crumpled erratically			the petal outline is another shape	the petal tip is obtuse (bluntly pointed)				white			the sepal outline is lanceolate (lance-shaped; narrow, gradually tapering from the base to the tip)		7^10			the stamens are didynamous (two long stamens and two short ones)					10^40	0	NA	the fruit is ellipsoid (widest in the middle and tapering to each end)		3^3.3	the hairs on the fruits are branched		0.5^5	1.2^1.8	2		there are only slender roots on the plant	the braceole margins are palmately lobed or divided	3^5	the bracteoles are triangular (the base is on one of the three roughly straight sides)		20^50			2.5^6						the edges of the leaf are curled up		the leaf blade is coriaceous (has a firm, leathery texture)			NA			8^40							NA			the hairs on the stem are mainly found at the nodes						absent	absent	not applicable                            (S-rank: SNA)	present, invasive, prohibited	extremely rare                            (S-rank: S1),                                                                             concern                            (code: C)	rare                            (S-rank: S2),                                                                             threatened                            (code: T)			1^2.5	the sepals are fleshy or spongy		the stipules are triangular	2^7.5	Up to 1	Up to 250	0.1^1	the fruit is roughly triangular in cross-section			3^18	Up to 10		1.5^3.3	10^13		100^200		one or more winged	the sepal tip is notched	2.5^5		1	1^2.5	NA	the inflorescence is a corymb (with long lower branches and shorter upper branches, giving it a more or less flat-topped look)	1.6^1.8	0.8^1.5	1^5		
